Region_ID,Date,lon,lat,ValidFrac_Land,WaterFrac_Valid,ValidPixCount,WaterPixCount,LandPixCount,WI_mean,NDWI_mean,DSWE_mean,system:index,Precip_mm,.geo,rain_sum_7,rain_sum_15,rain_sum_30,rain_sum_60,rain_sum_90,rain_days_7
2,2015-05-11,-13.5,9.25,0.8743206381128018,0.3469860513920192,752139.5748603664,260981.94117647057,860256,-0.0619487004743959,-0.2077258733398401,1.146484366783864,130_3,1.4032339677214622,"{""type"":""MultiPoint"",""coordinates"":[]}",8.005826734006405,13.274477794766426,16.158378683030605,17.131084576249123,24.649707600474354,3.0
7,2015-05-11,-13.5,9.5,0.3597806795131847,0.0502014668593749,309837.36470588244,15554.290196078431,861184,-0.3215618725469055,-0.4416742154068125,0.0493182317431326,130_4,1.3386057689785955,"{""type"":""MultiPoint"",""coordinates"":[]}",10.72397455573082,16.298752278089523,17.790920101106167,19.8899507522583,21.53237722814083,3.0
12,2015-05-11,-13.5,9.75,0.0,0.0,0.0,0.0,860256,,,0.0,130_5,1.294874586164951,"{""type"":""MultiPoint"",""coordinates"":[]}",14.222667552530766,19.213518127799034,21.278337575495243,26.445829309523106,27.603577822446823,4.0
3,2015-05-11,-13.25,9.25,0.9484950829950376,0.0200097671033035,815948.5861169791,16326.941176470593,860256,-0.4450081041574783,-0.5747045649699616,0.0386742137928952,130_6,2.749805338680744,"{""type"":""MultiPoint"",""coordinates"":[]}",25.607583113014698,36.73659823834896,43.71173679828644,48.594930209219456,58.555718511343,3.0
8,2015-05-11,-13.25,9.5,0.1685180621371616,0.0,145125.0588235294,0.0,861184,-0.4899354226892883,-0.5905242345640517,0.0,130_7,4.130127839744091,"{""type"":""MultiPoint"",""coordinates"":[]}",27.892989106476307,45.8096107468009,56.3659705221653,67.44899414479733,80.62685746699572,4.0
13,2015-05-11,-13.25,9.75,0.0,0.0,0.0,0.0,860256,,,0.0,130_8,1.4127856120467186,"{""type"":""MultiPoint"",""coordinates"":[]}",23.324294947087765,39.14753906428814,45.69962993264198,61.962428502738476,63.05303983390331,4.0
4,2015-05-11,-13.0,9.25,0.930371383335256,2.501578776165376e-06,799495.1104701022,2.0,859329,-0.5044007038595347,-0.6217116125246397,2.369278012419923e-06,130_9,6.850973702967167,"{""type"":""MultiPoint"",""coordinates"":[]}",37.09424752742052,69.93123423308134,82.61491544544697,94.79619190096855,104.84242532402277,5.0
9,2015-05-11,-13.0,9.5,0.0122342560317658,0.0,10524.592156862744,0.0,860256,-0.5028807776894407,-0.6202469637108284,0.0,130_10,6.917690858244896,"{""type"":""MultiPoint"",""coordinates"":[]}",45.26238236576319,96.34978044778109,116.7236128821969,137.51326221972704,151.67209599167109,7.0
14,2015-05-11,-13.0,9.75,0.0,0.0,0.0,0.0,859329,,,0.0,130_11,2.9503973200917244,"{""type"":""MultiPoint"",""coordinates"":[]}",29.317310079932213,62.900238670408726,74.09027125686407,86.98342554271221,90.11728595942259,6.0
5,2015-05-11,-12.75,9.25,0.7255931742055068,0.0,624195.8816693325,0.0,860256,-0.5034393527982015,-0.5832303681251525,0.0,130_12,7.80218280851841,"{""type"":""MultiPoint"",""coordinates"":[]}",35.46883352100849,67.60934554040432,80.66564612090588,91.55611041933298,98.10482058674097,4.0
